Student No, Student Name, Department, Student Type, DOB, Telephone No
435,Randika,Management,Undergraduate_Local_Student,23977,1732338
877,Randika,Art,Undergraduate_Local_Student,636901,1369103
770,Randika,Engineering,Undergraduate_International_Student,1091158,1195890
426,Randika,Art,Undergraduate_Local_Student,86785,906154
246,Randika,Medicine,Undergraduate_International_Student,1996756,811751
608,Randika,Management,Graduate_Local_Student,526822,1247996
111,Randika,Medicine,Graduate_International_Student,507405,710723
347,Randika,Management,Undergraduate_Local_Student,938210,1735465
471,Randika,Administrative,Graduate_Local_Student,289891,1093580
222,Randika,Computer_Science,Graduate_Local_Student,1409108,1826794
