Student No, Student Name, Department, Student Type, DOB, Telephone No
175,Randika,Medicine,Graduate_International_Student,1089666,1446446
137,Randika,Medicine,Graduate_Local_Student,860381,1883074
288,Randika,Management,Graduate_International_Student,1493846,272111
252,Randika,Administrative,Undergraduate_International_Student,1592376,1584129
524,Randika,Engineering,Graduate_Local_Student,1137688,824309
664,Randika,Medicine,Graduate_Local_Student,440885,1914987
740,Randika,Administrative,Graduate_Local_Student,523133,1057238
754,Randika,Art,Graduate_International_Student,909387,1525517
668,Randika,Art,Graduate_International_Student,1790754,356282
788,Randika,Computer_Science,Undergraduate_Local_Student,399865,650227
